source_id,subject,relative_path,parser,status,units,unit_count,text_chars,formula_count,table_count,embedded_visual_count,notes
SRC-0140,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202433.png,Pillow,parsed,pixels,596988,,,,1,966x618; mode=RGBA
SRC-0141,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202522.png,Pillow,parsed,pixels,479080,,,,1,590x812; mode=RGBA
SRC-0142,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202530.png,Pillow,parsed,pixels,467670,,,,1,595x786; mode=RGBA
SRC-0143,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202558.png,Pillow,parsed,pixels,269492,,,,1,757x356; mode=RGBA
SRC-0144,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202603.png,Pillow,parsed,pixels,345949,,,,1,757x457; mode=RGBA
SRC-0145,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202614.png,Pillow,parsed,pixels,123656,,,,1,533x232; mode=RGBA
SRC-0146,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202624.png,Pillow,parsed,pixels,235224,,,,1,484x486; mode=RGBA
SRC-0147,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202654.png,Pillow,parsed,pixels,778800,,,,1,1320x590; mode=RGBA
SRC-0148,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202743.png,Pillow,parsed,pixels,402320,,,,1,856x470; mode=RGBA
SRC-0149,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 203837.png,Pillow,parsed,pixels,1210265,,,,1,1603x755; mode=RGBA
SRC-0150,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 203849.png,Pillow,parsed,pixels,1348162,,,,1,1681x802; mode=RGBA
SRC-0151,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 204129.png,Pillow,parsed,pixels,1652150,,,,1,1910x865; mode=RGBA
SRC-0152,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 204158.png,Pillow,parsed,pixels,1496650,,,,1,1850x809; mode=RGBA
SRC-0153,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 204445.png,Pillow,parsed,pixels,1632959,,,,1,1901x859; mode=RGBA
SRC-0154,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 204516.png,Pillow,parsed,pixels,1605240,,,,1,1911x840; mode=RGBA
SRC-0155,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 210036.png,Pillow,parsed,pixels,8460,,,,1,235x36; mode=RGBA
SRC-0156,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 210041.png,Pillow,parsed,pixels,92196,,,,1,394x234; mode=RGBA
SRC-0157,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 210856.png,Pillow,parsed,pixels,420582,,,,1,573x734; mode=RGBA
SRC-0158,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 210942.png,Pillow,parsed,pixels,601563,,,,1,717x839; mode=RGBA
SRC-0159,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 211030.png,Pillow,parsed,pixels,427458,,,,1,573x746; mode=RGBA
SRC-0160,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 211040.png,Pillow,parsed,pixels,620312,,,,1,836x742; mode=RGBA
SRC-0161,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 211051.png,Pillow,parsed,pixels,371332,,,,1,481x772; mode=RGBA
SRC-0162,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 211104.png,Pillow,parsed,pixels,333696,,,,1,474x704; mode=RGBA
SRC-0163,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 211129.png,Pillow,parsed,pixels,409731,,,,1,763x537; mode=RGBA
SRC-0164,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 211137.png,Pillow,parsed,pixels,281122,,,,1,766x367; mode=RGBA
SRC-0165,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 211334.png,Pillow,parsed,pixels,296856,,,,1,399x744; mode=RGBA
SRC-0166,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 211340.png,Pillow,parsed,pixels,324008,,,,1,404x802; mode=RGBA
SRC-0167,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 211722.png,Pillow,parsed,pixels,125316,,,,1,531x236; mode=RGBA
SRC-0168,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 211833.png,Pillow,parsed,pixels,772038,,,,1,986x783; mode=RGBA
SRC-0169,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 214226.png,Pillow,parsed,pixels,319424,,,,1,448x713; mode=RGBA
SRC-0170,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 214229.png,Pillow,parsed,pixels,356724,,,,1,486x734; mode=RGBA
SRC-0171,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 214542.png,Pillow,parsed,pixels,1731888,,,,1,1899x912; mode=RGBA
SRC-0172,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 214819.png,Pillow,parsed,pixels,1835856,,,,1,1881x976; mode=RGBA
SRC-0173,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 215624.png,Pillow,parsed,pixels,245680,,,,1,332x740; mode=RGBA
SRC-0174,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 215632.png,Pillow,parsed,pixels,230640,,,,1,310x744; mode=RGBA
SRC-0175,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 215702.png,Pillow,parsed,pixels,793281,,,,1,983x807; mode=RGBA
SRC-0176,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 215820.png,Pillow,parsed,pixels,669658,,,,1,998x671; mode=RGBA
SRC-0177,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 215829.png,Pillow,parsed,pixels,657580,,,,1,980x671; mode=RGBA
SRC-0178,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 215957.png,Pillow,parsed,pixels,516681,,,,1,921x561; mode=RGBA
SRC-0179,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 220300.png,Pillow,parsed,pixels,500192,,,,1,812x616; mode=RGBA
SRC-0180,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 220308.png,Pillow,parsed,pixels,482160,,,,1,820x588; mode=RGBA
SRC-0181,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 220321.png,Pillow,parsed,pixels,543848,,,,1,866x628; mode=RGBA
SRC-0182,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221102.png,Pillow,parsed,pixels,673740,,,,1,985x684; mode=RGBA
SRC-0183,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221116.png,Pillow,parsed,pixels,674804,,,,1,988x683; mode=RGBA
SRC-0184,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221351.png,Pillow,parsed,pixels,576638,,,,1,802x719; mode=RGBA
SRC-0185,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221401.png,Pillow,parsed,pixels,456950,,,,1,481x950; mode=RGBA
SRC-0186,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221417.png,Pillow,parsed,pixels,822528,,,,1,1428x576; mode=RGBA
SRC-0187,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221424.png,Pillow,parsed,pixels,455520,,,,1,480x949; mode=RGBA
SRC-0188,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221437.png,Pillow,parsed,pixels,339809,,,,1,419x811; mode=RGBA
SRC-0189,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221449.png,Pillow,parsed,pixels,456950,,,,1,481x950; mode=RGBA
SRC-0190,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221505.png,Pillow,parsed,pixels,453628,,,,1,476x953; mode=RGBA
SRC-0191,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221512.png,Pillow,parsed,pixels,420750,,,,1,765x550; mode=RGBA
SRC-0192,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221521.png,Pillow,parsed,pixels,427576,,,,1,776x551; mode=RGBA
SRC-0193,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221542.png,Pillow,parsed,pixels,409252,,,,1,404x1013; mode=RGBA
SRC-0194,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221553.png,Pillow,parsed,pixels,1871188,,,,1,1892x989; mode=RGBA
SRC-0195,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221627.png,Pillow,parsed,pixels,805805,,,,1,1001x805; mode=RGBA
SRC-0196,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 221711.png,Pillow,parsed,pixels,681634,,,,1,998x683; mode=RGBA
SRC-0197,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 222407.png,Pillow,parsed,pixels,199281,,,,1,543x367; mode=RGBA
SRC-0198,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 222410.png,Pillow,parsed,pixels,788724,,,,1,981x804; mode=RGBA
SRC-0199,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 222606.png,Pillow,parsed,pixels,813000,,,,1,1000x813; mode=RGBA
SRC-0200,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-28 163230.png,Pillow,parsed,pixels,39364,,,,1,757x52; mode=RGBA
SRC-0201,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-28 163316.png,Pillow,parsed,pixels,37804,,,,1,727x52; mode=RGBA
SRC-0202,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-05-28 163341.png,Pillow,parsed,pixels,141696,,,,1,738x192; mode=RGBA
